legacy_page_num,section_order,section_title,page_order_in_section,page_component,component_name,translation_prefix,css_prefix,section_anchor_id,title,data_status,data_getters,indicator_keys,raw_source_tables,vectors_in_csv,vectors_expected,vectors_missing,coverage_pct,notes
1,1,"Key energy, economic and environmental indicators",1,EnergyOverview,EnergyOverview,energy_overview,energy-overview,energy-overview,"Key energy, economic and environmental indicators",no_data,,,,,,,,
2,1,"Key energy, economic and environmental indicators",2,WorldEnergyProduction,WorldEnergyProduction,world_energy_production,energy-production,energy-production,Energy production and supply,pipeline_partial,getWorldEnergyProductionData,world_energy_production,iea_web_rankings,energy_prod_australia_pct; energy_prod_australia_pj; energy_prod_australia_rank; energy_prod_brazil_pct; energy_prod_brazil_pj; energy_prod_brazil_rank; energy_prod_canada_growth_since_2005; energy_prod_canada_pct; energy_prod_canada_pj; energy_prod_canada_rank; energy_prod_china_pct; energy_prod_china_pj; energy_prod_china_rank; energy_prod_india_pct; energy_prod_india_pj; energy_prod_india_rank; energy_prod_indonesia_pct; energy_prod_indonesia_pj; energy_prod_indonesia_rank; energy_prod_mexico_pct; energy_prod_mexico_pj; energy_prod_mexico_rank; energy_prod_norway_pct; energy_prod_norway_pj; energy_prod_norway_rank; energy_prod_south_africa_pct; energy_prod_south_africa_pj; energy_prod_south_africa_rank; energy_prod_united_kingdom_pct; energy_prod_united_kingdom_pj; energy_prod_united_kingdom_rank; energy_prod_united_states_pct; energy_prod_united_states_pj; energy_prod_united_states_rank; energy_prod_world_growth_since_2005; energy_prod_world_total,energy_prod_australia_pct; energy_prod_australia_pj; energy_prod_australia_rank; energy_prod_brazil_pct; energy_prod_brazil_pj; energy_prod_brazil_rank; energy_prod_canada_growth_since_2005; energy_prod_canada_pct; energy_prod_canada_pj; energy_prod_canada_rank; energy_prod_china_pct; energy_prod_china_pj; energy_prod_china_rank; energy_prod_india_pct; energy_prod_india_pj; energy_prod_india_rank; energy_prod_indonesia_pct; energy_prod_indonesia_pj; energy_prod_indonesia_rank; energy_prod_mexico_pct; energy_prod_mexico_pj; energy_prod_mexico_rank; energy_prod_norway_pct; energy_prod_norway_pj; energy_prod_norway_rank; energy_prod_south_africa_pct; energy_prod_south_africa_pj; energy_prod_south_africa_rank; energy_prod_united_kingdom_pct; energy_prod_united_kingdom_pj; energy_prod_united_kingdom_rank; energy_prod_united_states_pct; energy_prod_united_states_pj; energy_prod_united_states_rank; energy_prod_world_growth_since_2005; energy_prod_world_total,,100.0,Hybrid: pipeline getter + hardcoded/inline data
3,1,"Key energy, economic and environmental indicators",3,CanadianEnergyProduction,CanadianEnergyProduction,canadian_energy_production,canadian-energy-production,canadian-energy-production,Canadian energy production,no_data,,,,,,,,
4,1,"Key energy, economic and environmental indicators",4,PrimaryEnergyProduction,PrimaryEnergyProduction,primary_energy_production,primary-energy-production,primary-energy-production,Primary energy production by source (2023),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
5,1,"Key energy, economic and environmental indicators",5,PrimaryEnergyByRegion,PrimaryEnergyByRegion,primary_energy_by_region,primary-energy-by-region,primary-energy-by-region,Primary energy production by region and source (2023),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
7,1,"Key energy, economic and environmental indicators",6,NominalGdp,NominalGdp,nominal_gdp,nominal-gdp,economic-contributions,Economic contributions,pipeline_present,getNominalGDPData,nominal_gdp,stc_gdpnom_3610010301,gdp_nominal_direct; gdp_nominal_direct_billions; gdp_nominal_direct_pct; gdp_nominal_electricity; gdp_nominal_electricity_billions; gdp_nominal_electricity_pct; gdp_nominal_indirect; gdp_nominal_indirect_billions; gdp_nominal_indirect_pct; gdp_nominal_market; gdp_nominal_market_billions; gdp_nominal_other; gdp_nominal_other_billions; gdp_nominal_other_pct; gdp_nominal_petroleum; gdp_nominal_petroleum_billions; gdp_nominal_petroleum_pct; gdp_nominal_total; gdp_nominal_total_billions; gdp_nominal_total_pct,gdp_nominal_direct; gdp_nominal_direct_billions; gdp_nominal_direct_pct; gdp_nominal_electricity; gdp_nominal_electricity_billions; gdp_nominal_electricity_pct; gdp_nominal_indirect; gdp_nominal_indirect_billions; gdp_nominal_indirect_pct; gdp_nominal_market; gdp_nominal_market_billions; gdp_nominal_other; gdp_nominal_other_billions; gdp_nominal_other_pct; gdp_nominal_petroleum; gdp_nominal_petroleum_billions; gdp_nominal_petroleum_pct; gdp_nominal_total; gdp_nominal_total_billions; gdp_nominal_total_pct,,100.0,
8,1,"Key energy, economic and environmental indicators",7,ProvincialGdp,ProvincialGdp,provincial_gdp,provincial-gdp,provincial-gdp,Energy's nominal GDP contribution by province/territory,pipeline_present,getProvincialGdpData,provincial_gdp,stc_nrsa_3810028501,gdp_prov_ab; gdp_prov_bc; gdp_prov_mb; gdp_prov_national_total; gdp_prov_nb; gdp_prov_nl; gdp_prov_ns; gdp_prov_nt; gdp_prov_nu; gdp_prov_on; gdp_prov_pe; gdp_prov_qc; gdp_prov_sk; gdp_prov_yt,gdp_prov_ab; gdp_prov_bc; gdp_prov_mb; gdp_prov_national_total; gdp_prov_nb; gdp_prov_nl; gdp_prov_ns; gdp_prov_nt; gdp_prov_nu; gdp_prov_on; gdp_prov_pe; gdp_prov_qc; gdp_prov_sk; gdp_prov_yt,,100.0,
9,1,"Key energy, economic and environmental indicators",8,Employment,Employment,employment,employment,employment,Employment in Canada's energy sector (2024),static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
10,1,"Key energy, economic and environmental indicators",9,EmploymentChart,EmploymentChart,employment_chart,employment-chart,employment-chart,Energy sector employment,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
11,1,"Key energy, economic and environmental indicators",10,GdpChart,GdpChart,gdp_chart,gdp-chart,gdp-chart,Energy sector GDP,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
