page_num,page_component,title,inventory_status,derived_status,audit_result,issue_count,issues,data_getters,vectors_in_csv,coverage_pct
1,EnergyOverview,"Key energy, economic and environmental indicators",no_data,no_data,PASS,0,,,,
2,WorldEnergyProduction,Energy production and supply,pipeline_partial,pipeline_partial,PASS,0,,getWorldEnergyProductionData,energy_prod_australia_pct; energy_prod_australia_pj; energy_prod_australia_rank; energy_prod_brazil_pct; energy_prod_brazil_pj; energy_prod_brazil_rank; energy_prod_canada_growth_since_2005; energy_prod_canada_pct; energy_prod_canada_pj; energy_prod_canada_rank; energy_prod_china_pct; energy_prod_china_pj; energy_prod_china_rank; energy_prod_india_pct; energy_prod_india_pj; energy_prod_india_rank; energy_prod_indonesia_pct; energy_prod_indonesia_pj; energy_prod_indonesia_rank; energy_prod_mexico_pct; energy_prod_mexico_pj; energy_prod_mexico_rank; energy_prod_norway_pct; energy_prod_norway_pj; energy_prod_norway_rank; energy_prod_south_africa_pct; energy_prod_south_africa_pj; energy_prod_south_africa_rank; energy_prod_united_kingdom_pct; energy_prod_united_kingdom_pj; energy_prod_united_kingdom_rank; energy_prod_united_states_pct; energy_prod_united_states_pj; energy_prod_united_states_rank; energy_prod_world_growth_since_2005; energy_prod_world_total,100.0
3,CanadianEnergyProduction,Canadian energy production,no_data,no_data,PASS,0,,,,
4,PrimaryEnergyProduction,Primary energy production by source (2023),static_hardcoded,static_hardcoded,PASS,0,,,,
5,PrimaryEnergyByRegion,Primary energy production by region and source (2023),static_hardcoded,static_hardcoded,PASS,0,,,,
7,NominalGdp,Economic contributions,pipeline_present,pipeline_present,PASS,0,,getNominalGDPData,gdp_nominal_direct; gdp_nominal_direct_billions; gdp_nominal_direct_pct; gdp_nominal_electricity; gdp_nominal_electricity_billions; gdp_nominal_electricity_pct; gdp_nominal_indirect; gdp_nominal_indirect_billions; gdp_nominal_indirect_pct; gdp_nominal_market; gdp_nominal_market_billions; gdp_nominal_other; gdp_nominal_other_billions; gdp_nominal_other_pct; gdp_nominal_petroleum; gdp_nominal_petroleum_billions; gdp_nominal_petroleum_pct; gdp_nominal_total; gdp_nominal_total_billions; gdp_nominal_total_pct,100.0
8,ProvincialGdp,Energy's nominal GDP contribution by province/territory,pipeline_present,pipeline_present,PASS,0,,getProvincialGdpData,gdp_prov_ab; gdp_prov_bc; gdp_prov_mb; gdp_prov_national_total; gdp_prov_nb; gdp_prov_nl; gdp_prov_ns; gdp_prov_nt; gdp_prov_nu; gdp_prov_on; gdp_prov_pe; gdp_prov_qc; gdp_prov_sk; gdp_prov_yt,100.0
9,Employment,Employment in Canada's energy sector (2024),static_hardcoded,static_hardcoded,PASS,0,,,,
10,EmploymentChart,Energy sector employment,static_hardcoded,static_hardcoded,PASS,0,,,,
11,GdpChart,Energy sector GDP,static_hardcoded,static_hardcoded,PASS,0,,,,
14,CanadianEnergyExportsUsStates,Canadian energy exports to the U.S. by state (),static_hardcoded,static_hardcoded,PASS,0,,,,
15,CanadaGlobalEnergyTrade,Canada's global energy trade,static_hardcoded,static_hardcoded,PASS,0,,,,
16,GovernmentRevenues,Government revenues,static_hardcoded,static_hardcoded,PASS,0,,,,
17,CorporateIncomeTaxes,Corporate income taxes paid by energy industries (federal and provincial),static_hardcoded,static_hardcoded,PASS,0,,,,
20,GhgEmissionsBySector,GHG emissions by Canadian economic sector,pipeline_present,pipeline_present,PASS,0,,getGHGEmissionsData,ghg_stat_conv_gas_emissions_pct; ghg_stat_crude_production_pct; ghg_stat_narrative_base_year; ghg_stat_narrative_end_year; ghg_stat_oil_sands_emissions_ratio,100.0
21,EnergyInformationLandscape,Canada's energy information landscape,no_data,no_data,PASS,0,,,,
